B/lambda,V2,sigma_V2,U(meters),V(meters),Bracket,Instrument
135912844.7,0.277973986,0.021346684,107.5649641,-7.792296497,1,PAVO
137262113.1,0.260997222,0.018849258,107.5649641,-7.792296497,1,PAVO
138638439.7,0.243251402,0.018732685,107.5649641,-7.792296497,1,PAVO
139951780.8,0.242389161,0.018513457,107.5649641,-7.792296497,1,PAVO
141290242.7,0.252474134,0.019024473,107.5649641,-7.792296497,1,PAVO
142579114.6,0.238474689,0.021308567,107.5649641,-7.792296497,1,PAVO
143872521.7,0.247884599,0.025251593,107.5649641,-7.792296497,1,PAVO
145189610,0.232689999,0.020467371,107.5649641,-7.792296497,1,PAVO
146531035.7,0.230220907,0.023951778,107.5649641,-7.792296497,1,PAVO
147897479.8,0.214730761,0.018294703,107.5649641,-7.792296497,1,PAVO
149310317.4,0.207738822,0.020513629,107.5649641,-7.792296497,1,PAVO
150645121.2,0.186841751,0.020629915,107.5649641,-7.792296497,1,PAVO
152004006,0.195929531,0.02061798,107.5649641,-7.792296497,1,PAVO
153300415.5,0.200342782,0.023852732,107.5649641,-7.792296497,1,PAVO
154574806.2,0.174844314,0.024545639,107.5649641,-7.792296497,1,PAVO
155893093.8,0.160776134,0.021053181,107.5649641,-7.792296497,1,PAVO
157211140.3,0.171441348,0.016961864,107.5649641,-7.792296497,1,PAVO
158505059.2,0.16856872,0.015940901,107.5649641,-7.792296497,1,PAVO
159773099.7,0.159731967,0.01662933,107.5649641,-7.792296497,1,PAVO
161037542.6,0.163873425,0.020420315,107.5649641,-7.792296497,1,PAVO
162346593.8,0.181688141,0.026142258,107.5649641,-7.792296497,1,PAVO
163652264.5,0.169654927,0.022670276,107.5649641,-7.792296497,1,PAVO
165004348.6,0.155256101,0.019692325,107.5649641,-7.792296497,1,PAVO
135596629.2,0.27312672,0.022614235,107.5900338,-1.125951643,2,PAVO
136942758.4,0.271411208,0.020165632,107.5900338,-1.125951643,2,PAVO
138315882.9,0.270474485,0.017657437,107.5900338,-1.125951643,2,PAVO
139626168.3,0.253350824,0.01922732,107.5900338,-1.125951643,2,PAVO
140961516.2,0.241987022,0.019248865,107.5900338,-1.125951643,2,PAVO
142247389.3,0.229099195,0.022427024,107.5900338,-1.125951643,2,PAVO
143537787.2,0.229390887,0.023223374,107.5900338,-1.125951643,2,PAVO
144851811.1,0.213998425,0.020131797,107.5900338,-1.125951643,2,PAVO
146190115.9,0.21739887,0.021556484,107.5900338,-1.125951643,2,PAVO
147553380.8,0.204890505,0.016327979,107.5900338,-1.125951643,2,PAVO
148962931.3,0.20164868,0.021562933,107.5900338,-1.125951643,2,PAVO
150294629.5,0.19972265,0.022135732,107.5900338,-1.125951643,2,PAVO
151650352.8,0.186036101,0.01865458,107.5900338,-1.125951643,2,PAVO
152943746,0.170156377,0.02312065,107.5900338,-1.125951643,2,PAVO
154215171.7,0.173291651,0.023278894,107.5900338,-1.125951643,2,PAVO
