logg,Teff,Z,xi,u,Filt,Met,Mod
0,3500,-5,2,0.3866,H ,L,A
0.5,3500,-5,2,0.352,H ,L,A
1,3500,-5,2,0.2919,H ,L,A
1.5,3500,-5,2,0.278,H ,L,A
2,3500,-5,2,0.2925,H ,L,A
2.5,3500,-5,2,0.231,H ,L,A
3,3500,-5,2,0.1178,H ,L,A
0,3750,-5,2,0.3734,H ,L,A
0.5,3750,-5,2,0.3452,H ,L,A
1,3750,-5,2,0.3148,H ,L,A
1.5,3750,-5,2,0.27,H ,L,A
2,3750,-5,2,0.223,H ,L,A
2.5,3750,-5,2,0.2511,H ,L,A
3,3750,-5,2,0.278,H ,L,A
0,4000,-5,2,0.3664,H ,L,A
0.5,4000,-5,2,0.3473,H ,L,A
1,4000,-5,2,0.3232,H ,L,A
1.5,4000,-5,2,0.2952,H ,L,A
2,4000,-5,2,0.266,H ,L,A
2.5,4000,-5,2,0.2172,H ,L,A
3,4000,-5,2,0.1965,H ,L,A
3.5,4000,-5,2,0.247,H ,L,A
0,4250,-5,2,0.3586,H ,L,A
0.5,4250,-5,2,0.348,H ,L,A
1,4250,-5,2,0.3325,H ,L,A
1.5,4250,-5,2,0.3124,H ,L,A
2,4250,-5,2,0.2901,H ,L,A
2.5,4250,-5,2,0.2608,H ,L,A
3,4250,-5,2,0.2289,H ,L,A
3.5,4250,-5,2,0.1866,H ,L,A
4,4250,-5,2,0.1572,H ,L,A
0,4500,-5,2,0.3475,H ,L,A
0.5,4500,-5,2,0.342,H ,L,A
1,4500,-5,2,0.3335,H ,L,A
1.5,4500,-5,2,0.321,H ,L,A
2,4500,-5,2,0.3042,H ,L,A
2.5,4500,-5,2,0.2838,H ,L,A
3,4500,-5,2,0.2611,H ,L,A
3.5,4500,-5,2,0.2316,H ,L,A
4,4500,-5,2,0.1951,H ,L,A
0,4750,-5,2,0.3343,H ,L,A
0.5,4750,-5,2,0.3316,H ,L,A
1,4750,-5,2,0.3276,H ,L,A
1.5,4750,-5,2,0.32,H ,L,A
2,4750,-5,2,0.3094,H ,L,A
2.5,4750,-5,2,0.2956,H ,L,A
3,4750,-5,2,0.2792,H ,L,A
3.5,4750,-5,2,0.2614,H ,L,A
4,4750,-5,2,0.2354,H ,L,A
4.5,4750,-5,2,0.205,H ,L,A
0,5000,-5,2,0.3207,H ,L,A
0.5,5000,-5,2,0.3196,H ,L,A
1,5000,-5,2,0.3174,H ,L,A
1.5,5000,-5,2,0.3136,H ,L,A
2,5000,-5,2,0.3072,H ,L,A
2.5,5000,-5,2,0.2986,H ,L,A
3,5000,-5,2,0.2875,H ,L,A
3.5,5000,-5,2,0.2745,H ,L,A
4,5000,-5,2,0.2588,H ,L,A
4.5,5000,-5,2,0.2382,H ,L,A
5,5000,-5,2,0.2169,H ,L,A
0,5250,-5,2,0.3081,H ,L,A
0.5,5250,-5,2,0.3064,H ,L,A
1,5250,-5,2,0.3056,H ,L,A
1.5,5250,-5,2,0.3035,H ,L,A
2,5250,-5,2,0.2999,H ,L,A
2.5,5250,-5,2,0.2952,H ,L,A
3,5250,-5,2,0.2883,H ,L,A
3.5,5250,-5,2,0.2793,H ,L,A
4,5250,-5,2,0.2698,H ,L,A
4.5,5250,-5,2,0.2548,H ,L,A
5,5250,-5,2,0.2346,H ,L,A
0,5500,-5,2,0.2963,H ,L,A
0.5,5500,-5,2,0.292,H ,L,A
1,5500,-5,2,0.2915,H ,L,A
1.5,5500,-5,2,0.2913,H ,L,A
2,5500,-5,2,0.2901,H ,L,A
2.5,5500,-5,2,0.2876,H ,L,A
3,5500,-5,2,0.2838,H ,L,A
3.5,5500,-5,2,0.2792,H ,L,A
4,5500,-5,2,0.2722,H ,L,A
4.5,5500,-5,2,0.2626,H ,L,A
5,5500,-5,2,0.2491,H ,L,A
0,5750,-5,2,0.325,H ,L,A
0.5,5750,-5,2,0.2793,H ,L,A
1,5750,-5,2,0.2761,H ,L,A
1.5,5750,-5,2,0.2769,H ,L,A
2,5750,-5,2,0.2778,H ,L,A
2.5,5750,-5,2,0.2778,H ,L,A
3,5750,-5,2,0.2768,H ,L,A
3.5,5750,-5,2,0.2743,H ,L,A
4,5750,-5,2,0.2711,H ,L,A
4.5,5750,-5,2,0.2652,H ,L,A
5,5750,-5,2,0.2559,H ,L,A
0,6000,-5,2,0.3253,H ,L,A
0.5,6000,-5,2,0.3101,H ,L,A
1,6000,-5,2,0.2712,H ,L,A
1.5,6000,-5,2,0.2625,H ,L,A
2,6000,-5,2,0.2639,H ,L,A
2.5,6000,-5,2,0.2659,H ,L,A
3,6000,-5,2,0.2671,H ,L,A
3.5,6000,-5,2,0.2669,H ,L,A
4,6000,-5,2,0.2671,H ,L,A
4.5,6000,-5,2,0.2646,H ,L,A
5,6000,-5,2,0.2585,H ,L,A
0.5,6250,-5,2,0.3064,H ,L,A
1,6250,-5,2,0.2966,H ,L,A
1.5,6250,-5,2,0.2563,H ,L,A
2,6250,-5,2,0.2504,H ,L,A
2.5,6250,-5,2,0.2531,H ,L,A
3,6250,-5,2,0.2559,H ,L,A
3.5,6250,-5,2,0.2582,H ,L,A
4,6250,-5,2,0.2598,H ,L,A
4.5,6250,-5,2,0.259,H ,L,A
5,6250,-5,2,0.2582,H ,L,A
0.5,6500,-5,2,0.3052,H ,L,A
1,6500,-5,2,0.2898,H ,L,A
1.5,6500,-5,2,0.2837,H ,L,A
2,6500,-5,2,0.2426,H ,L,A
2.5,6500,-5,2,0.2393,H ,L,A
3,6500,-5,2,0.2437,H ,L,A
3.5,6500,-5,2,0.2478,H ,L,A
4,6500,-5,2,0.2515,H ,L,A
4.5,6500,-5,2,0.2538,H ,L,A
5,6500,-5,2,0.2539,H ,L,A
0.5,6750,-5,2,0.3068,H ,L,A
1,6750,-5,2,0.2848,H ,L,A
1.5,6750,-5,2,0.2749,H ,L,A
2,6750,-5,2,0.2721,H ,L,A
2.5,6750,-5,2,0.2317,H ,L,A
3,6750,-5,2,0.2319,H ,L,A
3.5,6750,-5,2,0.2372,H ,L,A
4,6750,-5,2,0.2423,H ,L,A
4.5,6750,-5,2,0.2466,H ,L,A
5,6750,-5,2,0.2493,H ,L,A
0.5,7000,-5,2,0.3109,H ,L,A
1,7000,-5,2,0.2828,H ,L,A
1.5,7000,-5,2,0.2676,H ,L,A
2,7000,-5,2,0.2619,H ,L,A
2.5,7000,-5,2,0.2617,H ,L,A
3,7000,-5,2,0.2244,H ,L,A
3.5,7000,-5,2,0.2272,H ,L,A
4,7000,-5,2,0.2327,H ,L,A
4.5,7000,-5,2,0.2384,H ,L,A
5,7000,-5,2,0.2426,H ,L,A
1,7250,-5,2,0.283,H ,L,A
1.5,7250,-5,2,0.2626,H ,L,A
2,7250,-5,2,0.2526,H ,L,A
2.5,7250,-5,2,0.2507,H ,L,A
3,7250,-5,2,0.2526,H ,L,A
3.5,7250,-5,2,0.2189,H ,L,A
4,7250,-5,2,0.2234,H ,L,A
4.5,7250,-5,2,0.2298,H ,L,A
5,7250,-5,2,0.2349,H ,L,A
1,7500,-5,2,0.2843,H ,L,A
1.5,7500,-5,2,0.2598,H ,L,A
2,7500,-5,2,0.2456,H ,L,A
2.5,7500,-5,2,0.2401,H ,L,A
3,7500,-5,2,0.2408,H ,L,A
3.5,7500,-5,2,0.2448,H ,L,A
4,7500,-5,2,0.219,H ,L,A
4.5,7500,-5,2,0.2219,H ,L,A
5,7500,-5,2,0.227,H ,L,A
1.5,7750,-5,2,0.2578,H ,L,A
