logg,Teff,Z,xi,u,Filt,Met,Mod
3.5,2000,0,2,0.7125,H ,L,P
4,2000,0,2,0.711,H ,L,P
4.5,2000,0,2,0.7187,H ,L,P
5,2000,0,2,0.7265,H ,L,P
3.5,2200,0,2,0.6412,H ,L,P
4,2200,0,2,0.6376,H ,L,P
4.5,2200,0,2,0.6514,H ,L,P
5,2200,0,2,0.6634,H ,L,P
3.5,2400,0,2,0.5633,H ,L,P
4,2400,0,2,0.5577,H ,L,P
4.5,2400,0,2,0.5721,H ,L,P
5,2400,0,2,0.5888,H ,L,P
3.5,2600,0,2,0.4736,H ,L,P
4,2600,0,2,0.4825,H ,L,P
4.5,2600,0,2,0.4903,H ,L,P
5,2600,0,2,0.5088,H ,L,P
3.5,2800,0,2,0.4284,H ,L,P
4,2800,0,2,0.4268,H ,L,P
4.5,2800,0,2,0.4212,H ,L,P
5,2800,0,2,0.4349,H ,L,P
3.5,3000,0,2,0.4303,H ,L,P
4,3000,0,2,0.3769,H ,L,P
4.5,3000,0,2,0.3625,H ,L,P
5,3000,0,2,0.3759,H ,L,P
3.5,3200,0,2,0.4857,H ,L,P
4,3200,0,2,0.371,H ,L,P
4.5,3200,0,2,0.3375,H ,L,P
5,3200,0,2,0.3275,H ,L,P
3.5,3400,0,2,0.5612,H ,L,P
4,3400,0,2,0.3957,H ,L,P
4.5,3400,0,2,0.3218,H ,L,P
5,3400,0,2,0.3009,H ,L,P
3.5,3600,0,2,0.5394,H ,L,P
4,3600,0,2,0.4653,H ,L,P
4.5,3600,0,2,0.3322,H ,L,P
5,3600,0,2,0.2823,H ,L,P
3.5,3800,0,2,0.5054,H ,L,P
4,3800,0,2,0.4848,H ,L,P
4.5,3800,0,2,0.3931,H ,L,P
5,3800,0,2,0.2942,H ,L,P
3.5,4000,0,2,0.4376,H ,L,P
4,4000,0,2,0.4509,H ,L,P
4.5,4000,0,2,0.436,H ,L,P
5,4000,0,2,0.3452,H ,L,P
3.5,4200,0,2,0.4225,H ,L,P
4,4200,0,2,0.4383,H ,L,P
4.5,4200,0,2,0.447,H ,L,P
5,4200,0,2,0.4004,H ,L,P
3.5,4400,0,2,0.4053,H ,L,P
4,4400,0,2,0.4244,H ,L,P
4.5,4400,0,2,0.4233,H ,L,P
5,4400,0,2,0.4232,H ,L,P
3.5,4600,0,2,0.3886,H ,L,P
4,4600,0,2,0.4109,H ,L,P
4.5,4600,0,2,0.4085,H ,L,P
5,4600,0,2,0.4101,H ,L,P
3.5,4800,0,2,0.3753,H ,L,P
4,4800,0,2,0.3976,H ,L,P
4.5,4800,0,2,0.3938,H ,L,P
5,4800,0,2,0.3948,H ,L,P
3.5,5000,0,2,0.3722,H ,L,P
4,5000,0,2,0.3777,H ,L,P
4.5,5000,0,2,0.3782,H ,L,P
