logg,Teff,Z,u,Filt,Met,Mod
3.5,2000,0,0.6093,H,F,P
4,2000,0,0.6107,H,F,P
4.5,2000,0,0.6203,H,F,P
5,2000,0,0.6316,H,F,P
3.5,2200,0,0.5262,H,F,P
4,2200,0,0.5255,H,F,P
4.5,2200,0,0.5421,H,F,P
5,2200,0,0.5564,H,F,P
3.5,2400,0,0.445,H,F,P
4,2400,0,0.4416,H,F,P
4.5,2400,0,0.457,H,F,P
5,2400,0,0.4749,H,F,P
3.5,2600,0,0.3628,H,F,P
4,2600,0,0.3711,H,F,P
4.5,2600,0,0.3784,H,F,P
5,2600,0,0.3947,H,F,P
3.5,2800,0,0.3289,H,F,P
4,2800,0,0.3248,H,F,P
4.5,2800,0,0.3185,H,F,P
5,2800,0,0.3283,H,F,P
3.5,3000,0,0.333,H,F,P
4,3000,0,0.284,H,F,P
4.5,3000,0,0.2701,H,F,P
5,3000,0,0.2791,H,F,P
3.5,3200,0,0.3871,H,F,P
4,3200,0,0.276,H,F,P
4.5,3200,0,0.2483,H,F,P
5,3200,0,0.2395,H,F,P
3.5,3400,0,0.4657,H,F,P
4,3400,0,0.2997,H,F,P
4.5,3400,0,0.2332,H,F,P
5,3400,0,0.2169,H,F,P
3.5,3600,0,0.4415,H,F,P
4,3600,0,0.3738,H,F,P
4.5,3600,0,0.2474,H,F,P
5,3600,0,0.2032,H,F,P
3.5,3800,0,0.4062,H,F,P
4,3800,0,0.3951,H,F,P
4.5,3800,0,0.3115,H,F,P
5,3800,0,0.2192,H,F,P
3.5,4000,0,0.3582,H,F,P
4,4000,0,0.3688,H,F,P
4.5,4000,0,0.3529,H,F,P
5,4000,0,0.2717,H,F,P
3.5,4200,0,0.3447,H,F,P
4,4200,0,0.3571,H,F,P
4.5,4200,0,0.3592,H,F,P
5,4200,0,0.3215,H,F,P
3.5,4400,0,0.329,H,F,P
4,4400,0,0.3439,H,F,P
4.5,4400,0,0.3427,H,F,P
5,4400,0,0.3375,H,F,P
3.5,4600,0,0.3154,H,F,P
4,4600,0,0.3304,H,F,P
4.5,4600,0,0.3303,H,F,P
5,4600,0,0.3311,H,F,P
3.5,4800,0,0.3052,H,F,P
4,4800,0,0.3189,H,F,P
4.5,4800,0,0.3182,H,F,P
5,4800,0,0.3196,H,F,P
3.5,5000,0,0.3042,H,F,P
4,5000,0,0.306,H,F,P
4.5,5000,0,0.3068,H,F,P
5,5000,0,0.308,H,F,P
3.5,5200,0,0.2913,H,F,P
4,5200,0,0.2956,H,F,P
4.5,5200,0,0.2967,H,F,P
5,5200,0,0.298,H,F,P
3.5,5400,0,0.2807,H,F,P
4,5400,0,0.2856,H,F,P
4.5,5400,0,0.2871,H,F,P
5,5400,0,0.2887,H,F,P
3.5,5600,0,0.2705,H,F,P
4,5600,0,0.2758,H,F,P
4.5,5600,0,0.2776,H,F,P
5,5600,0,0.2736,H,F,P
3.5,5800,0,0.2608,H,F,P
4,5800,0,0.2667,H,F,P
4.5,5800,0,0.2686,H,F,P
5,5800,0,0.2652,H,F,P
3.5,7000,0,0.2124,H,F,P
4,7000,0,0.2234,H,F,P
4.5,7000,0,0.2228,H,F,P
5,7000,0,0.2248,H,F,P
3.5,7200,0,0.2059,H,F,P
4,7200,0,0.2149,H,F,P
4.5,7200,0,0.2166,H,F,P
5,7200,0,0.2187,H,F,P
3.5,7400,0,0.2015,H,F,P
4,7400,0,0.2105,H,F,P
4.5,7400,0,0.2105,H,F,P
5,7400,0,0.2128,H,F,P
3.5,7600,0,0.1952,H,F,P
4,7600,0,0.2046,H,F,P
4.5,7600,0,0.2047,H,F,P
5,7600,0,0.207,H,F,P
3.5,7800,0,0.189,H,F,P
4,7800,0,0.1988,H,F,P
4.5,7800,0,0.2009,H,F,P
5,7800,0,0.2014,H,F,P
3.5,8000,0,0.182,H,F,P
4,8000,0,0.1932,H,F,P
4.5,8000,0,0.195,H,F,P
5,8000,0,0.1972,H,F,P
3.5,8200,0,0.1753,H,F,P
4,8200,0,0.1876,H,F,P
4.5,8200,0,0.1893,H,F,P
5,8200,0,0.1921,H,F,P
3.5,8400,0,0.1717,H,F,P
4,8400,0,0.1858,H,F,P
4.5,8400,0,0.1836,H,F,P
5,8400,0,0.1866,H,F,P
3.5,8600,0,0.1689,H,F,P
4,8600,0,0.1763,H,F,P
4.5,8600,0,0.1785,H,F,P
5,8600,0,0.1814,H,F,P
3.5,8800,0,0.1655,H,F,P
4,8800,0,0.1678,H,F,P
4.5,8800,0,0.1742,H,F,P
5,8800,0,0.176,H,F,P
3.5,9000,0,0.1652,H,F,P
4,9000,0,0.1639,H,F,P
4.5,9000,0,0.161,H,F,P
5,9000,0,0.1663,H,F,P
3.5,9200,0,0.162,H,F,P
4,9200,0,0.1626,H,F,P
4.5,9200,0,0.1585,H,F,P
5,9200,0,0.1609,H,F,P
3.5,9400,0,0.16,H,F,P
4,9400,0,0.1609,H,F,P
4.5,9400,0,0.1556,H,F,P
5,9400,0,0.1541,H,F,P
3.5,9600,0,0.1578,H,F,P
4,9600,0,0.1582,H,F,P
4.5,9600,0,0.1529,H,F,P
5,9600,0,0.151,H,F,P
3.5,9800,0,0.1571,H,F,P
4,9800,0,0.1566,H,F,P
4.5,9800,0,0.1511,H,F,P
5,9800,0,0.1485,H,F,P
