logg,Teff,Z,xi,u,Filt,Met,Mod
0,3500,-5,2,0.4436,J ,L,A
0.5,3500,-5,2,0.3949,J ,L,A
1,3500,-5,2,0.3237,J ,L,A
1.5,3500,-5,2,0.2817,J ,L,A
2,3500,-5,2,0.2842,J ,L,A
2.5,3500,-5,2,0.3185,J ,L,A
3,3500,-5,2,0.3212,J ,L,A
0,3750,-5,2,0.4201,J ,L,A
0.5,3750,-5,2,0.3915,J ,L,A
1,3750,-5,2,0.359,J ,L,A
1.5,3750,-5,2,0.303,J ,L,A
2,3750,-5,2,0.2464,J ,L,A
2.5,3750,-5,2,0.2273,J ,L,A
3,3750,-5,2,0.2572,J ,L,A
0,4000,-5,2,0.4081,J ,L,A
0.5,4000,-5,2,0.3855,J ,L,A
1,4000,-5,2,0.3623,J ,L,A
1.5,4000,-5,2,0.3393,J ,L,A
2,4000,-5,2,0.3047,J ,L,A
2.5,4000,-5,2,0.2496,J ,L,A
3,4000,-5,2,0.2118,J ,L,A
3.5,4000,-5,2,0.2051,J ,L,A
0,4250,-5,2,0.4008,J ,L,A
0.5,4250,-5,2,0.3842,J ,L,A
1,4250,-5,2,0.3663,J ,L,A
1.5,4250,-5,2,0.3501,J ,L,A
2,4250,-5,2,0.3349,J ,L,A
2.5,4250,-5,2,0.3074,J ,L,A
3,4250,-5,2,0.2698,J ,L,A
3.5,4250,-5,2,0.2267,J ,L,A
4,4250,-5,2,0.1954,J ,L,A
0,4500,-5,2,0.3937,J ,L,A
0.5,4500,-5,2,0.3822,J ,L,A
1,4500,-5,2,0.3693,J ,L,A
1.5,4500,-5,2,0.3557,J ,L,A
2,4500,-5,2,0.3436,J ,L,A
2.5,4500,-5,2,0.3297,J ,L,A
3,4500,-5,2,0.3112,J ,L,A
3.5,4500,-5,2,0.2764,J ,L,A
4,4500,-5,2,0.2358,J ,L,A
0,4750,-5,2,0.3851,J ,L,A
0.5,4750,-5,2,0.3775,J ,L,A
1,4750,-5,2,0.3696,J ,L,A
1.5,4750,-5,2,0.3594,J ,L,A
2,4750,-5,2,0.3484,J ,L,A
2.5,4750,-5,2,0.3378,J ,L,A
3,4750,-5,2,0.3272,J ,L,A
3.5,4750,-5,2,0.3146,J ,L,A
4,4750,-5,2,0.2841,J ,L,A
4.5,4750,-5,2,0.248,J ,L,A
0,5000,-5,2,0.3751,J ,L,A
0.5,5000,-5,2,0.3711,J ,L,A
1,5000,-5,2,0.3653,J ,L,A
1.5,5000,-5,2,0.3583,J ,L,A
2,5000,-5,2,0.3502,J ,L,A
2.5,5000,-5,2,0.342,J ,L,A
3,5000,-5,2,0.3339,J ,L,A
3.5,5000,-5,2,0.3268,J ,L,A
4,5000,-5,2,0.3138,J ,L,A
4.5,5000,-5,2,0.291,J ,L,A
5,5000,-5,2,0.2656,J ,L,A
0,5250,-5,2,0.3637,J ,L,A
0.5,5250,-5,2,0.3622,J ,L,A
1,5250,-5,2,0.359,J ,L,A
