logg,Teff,Z,u,Filt,Met,Mod
0,3500,-5,0.3593,J,F,A
0.5,3500,-5,0.3097,J,F,A
1,3500,-5,0.2364,J,F,A
1.5,3500,-5,0.1953,J,F,A
2,3500,-5,0.1959,J,F,A
2.5,3500,-5,0.2314,J,F,A
3,3500,-5,0.2639,J,F,A
0,3750,-5,0.3444,J,F,A
0.5,3750,-5,0.3147,J,F,A
1,3750,-5,0.2859,J,F,A
1.5,3750,-5,0.232,J,F,A
2,3750,-5,0.1767,J,F,A
2.5,3750,-5,0.1564,J,F,A
3,3750,-5,0.1747,J,F,A
0,4000,-5,0.3407,J,F,A
0.5,4000,-5,0.318,J,F,A
1,4000,-5,0.2943,J,F,A
1.5,4000,-5,0.2707,J,F,A
2,4000,-5,0.2419,J,F,A
2.5,4000,-5,0.1883,J,F,A
3,4000,-5,0.1514,J,F,A
3.5,4000,-5,0.1389,J,F,A
0,4250,-5,0.339,J,F,A
0.5,4250,-5,0.3229,J,F,A
1,4250,-5,0.3044,J,F,A
1.5,4250,-5,0.287,J,F,A
2,4250,-5,0.2707,J,F,A
2.5,4250,-5,0.2433,J,F,A
3,4250,-5,0.2095,J,F,A
3.5,4250,-5,0.1686,J,F,A
4,4250,-5,0.1411,J,F,A
0,4500,-5,0.3351,J,F,A
0.5,4500,-5,0.3245,J,F,A
1,4500,-5,0.311,J,F,A
1.5,4500,-5,0.2961,J,F,A
2,4500,-5,0.2821,J,F,A
2.5,4500,-5,0.2665,J,F,A
3,4500,-5,0.2476,J,F,A
3.5,4500,-5,0.2142,J,F,A
4,4500,-5,0.1762,J,F,A
0,4750,-5,0.3282,J,F,A
0.5,4750,-5,0.3216,J,F,A
1,4750,-5,0.3135,J,F,A
1.5,4750,-5,0.302,J,F,A
2,4750,-5,0.2891,J,F,A
2.5,4750,-5,0.2766,J,F,A
3,4750,-5,0.2645,J,F,A
3.5,4750,-5,0.2508,J,F,A
4,4750,-5,0.2211,J,F,A
4.5,4750,-5,0.1876,J,F,A
0,5000,-5,0.3186,J,F,A
0.5,5000,-5,0.3158,J,F,A
1,5000,-5,0.3102,J,F,A
1.5,5000,-5,0.3024,J,F,A
2,5000,-5,0.2926,J,F,A
2.5,5000,-5,0.2822,J,F,A
3,5000,-5,0.2723,J,F,A
3.5,5000,-5,0.2635,J,F,A
4,5000,-5,0.2498,J,F,A
4.5,5000,-5,0.2271,J,F,A
5,5000,-5,0.2038,J,F,A
0,5250,-5,0.3065,J,F,A
0.5,5250,-5,0.3067,J,F,A
1,5250,-5,0.3039,J,F,A
1.5,5250,-5,0.2987,J,F,A
2,5250,-5,0.2917,J,F,A
2.5,5250,-5,0.2845,J,F,A
3,5250,-5,0.2763,J,F,A
3.5,5250,-5,0.2674,J,F,A
4,5250,-5,0.2609,J,F,A
4.5,5250,-5,0.2454,J,F,A
5,5250,-5,0.222,J,F,A
0,5500,-5,0.2915,J,F,A
0.5,5500,-5,0.2932,J,F,A
1,5500,-5,0.2937,J,F,A
1.5,5500,-5,0.2917,J,F,A
2,5500,-5,0.2879,J,F,A
2.5,5500,-5,0.2826,J,F,A
3,5500,-5,0.2764,J,F,A
3.5,5500,-5,0.2706,J,F,A
4,5500,-5,0.2627,J,F,A
4.5,5500,-5,0.2525,J,F,A
5,5500,-5,0.2383,J,F,A
0,5750,-5,0.3283,J,F,A
0.5,5750,-5,0.2794,J,F,A
1,5750,-5,0.2795,J,F,A
1.5,5750,-5,0.2808,J,F,A
2,5750,-5,0.2802,J,F,A
2.5,5750,-5,0.2777,J,F,A
3,5750,-5,0.2743,J,F,A
3.5,5750,-5,0.2694,J,F,A
4,5750,-5,0.2643,J,F,A
4.5,5750,-5,0.2567,J,F,A
5,5750,-5,0.2459,J,F,A
0,6000,-5,0.3211,J,F,A
0.5,6000,-5,0.3196,J,F,A
1,6000,-5,0.2755,J,F,A
1.5,6000,-5,0.2678,J,F,A
2,6000,-5,0.2693,J,F,A
2.5,6000,-5,0.2697,J,F,A
3,6000,-5,0.2688,J,F,A
3.5,6000,-5,0.2659,J,F,A
4,6000,-5,0.2638,J,F,A
4.5,6000,-5,0.2589,J,F,A
5,6000,-5,0.2504,J,F,A
0.5,6250,-5,0.3105,J,F,A
1,6250,-5,0.3106,J,F,A
1.5,6250,-5,0.2625,J,F,A
2,6250,-5,0.257,J,F,A
2.5,6250,-5,0.2596,J,F,A
3,6250,-5,0.2609,J,F,A
3.5,6250,-5,0.2607,J,F,A
4,6250,-5,0.2596,J,F,A
4.5,6250,-5,0.2557,J,F,A
5,6250,-5,0.2523,J,F,A
0.5,6500,-5,0.3023,J,F,A
1,6500,-5,0.3,J,F,A
1.5,6500,-5,0.3011,J,F,A
2,6500,-5,0.2498,J,F,A
2.5,6500,-5,0.2463,J,F,A
3,6500,-5,0.2502,J,F,A
3.5,6500,-5,0.2527,J,F,A
4,6500,-5,0.2537,J,F,A
4.5,6500,-5,0.2531,J,F,A
5,6500,-5,0.2498,J,F,A
0.5,6750,-5,0.2971,J,F,A
1,6750,-5,0.2897,J,F,A
1.5,6750,-5,0.2895,J,F,A
2,6750,-5,0.2916,J,F,A
2.5,6750,-5,0.2387,J,F,A
3,6750,-5,0.2381,J,F,A
3.5,6750,-5,0.2426,J,F,A
4,6750,-5,0.2458,J,F,A
4.5,6750,-5,0.2476,J,F,A
5,6750,-5,0.247,J,F,A
0.5,7000,-5,0.2948,J,F,A
1,7000,-5,0.2817,J,F,A
1.5,7000,-5,0.2778,J,F,A
2,7000,-5,0.2797,J,F,A
2.5,7000,-5,0.283,J,F,A
3,7000,-5,0.2302,J,F,A
3.5,7000,-5,0.2321,J,F,A
4,7000,-5,0.2366,J,F,A
4.5,7000,-5,0.2404,J,F,A
5,7000,-5,0.2412,J,F,A
1,7250,-5,0.2763,J,F,A
1.5,7250,-5,0.2681,J,F,A
2,7250,-5,0.2668,J,F,A
2.5,7250,-5,0.2711,J,F,A
3,7250,-5,0.2748,J,F,A
3.5,7250,-5,0.223,J,F,A
4,7250,-5,0.2266,J,F,A
4.5,7250,-5,0.2318,J,F,A
