logg,Teff,Z,u,Filt,Met,Mod
3.5,2000,0,0.6679,J,F,P
4,2000,0,0.6714,J,F,P
4.5,2000,0,0.6799,J,F,P
5,2000,0,0.684,J,F,P
3.5,2200,0,0.559,J,F,P
4,2200,0,0.5626,J,F,P
4.5,2200,0,0.583,J,F,P
5,2200,0,0.5992,J,F,P
3.5,2400,0,0.4611,J,F,P
4,2400,0,0.4594,J,F,P
4.5,2400,0,0.4799,J,F,P
5,2400,0,0.5056,J,F,P
3.5,2600,0,0.3718,J,F,P
4,2600,0,0.3785,J,F,P
4.5,2600,0,0.3882,J,F,P
5,2600,0,0.4148,J,F,P
3.5,2800,0,0.331,J,F,P
4,2800,0,0.3274,J,F,P
4.5,2800,0,0.3245,J,F,P
5,2800,0,0.34,J,F,P
3.5,3000,0,0.3322,J,F,P
4,3000,0,0.288,J,F,P
4.5,3000,0,0.2778,J,F,P
5,3000,0,0.2897,J,F,P
3.5,3200,0,0.3856,J,F,P
4,3200,0,0.2898,J,F,P
4.5,3200,0,0.2619,J,F,P
5,3200,0,0.2555,J,F,P
3.5,3400,0,0.4901,J,F,P
4,3400,0,0.3265,J,F,P
4.5,3400,0,0.2618,J,F,P
5,3400,0,0.2428,J,F,P
3.5,3600,0,0.5201,J,F,P
4,3600,0,0.4166,J,F,P
4.5,3600,0,0.2879,J,F,P
5,3600,0,0.2423,J,F,P
3.5,3800,0,0.5243,J,F,P
4,3800,0,0.4816,J,F,P
4.5,3800,0,0.3602,J,F,P
5,3800,0,0.2645,J,F,P
3.5,4000,0,0.4604,J,F,P
4,4000,0,0.465,J,F,P
4.5,4000,0,0.4411,J,F,P
5,4000,0,0.3222,J,F,P
3.5,4200,0,0.4461,J,F,P
4,4200,0,0.4646,J,F,P
4.5,4200,0,0.4781,J,F,P
5,4200,0,0.4036,J,F,P
3.5,4400,0,0.428,J,F,P
4,4400,0,0.4555,J,F,P
4.5,4400,0,0.4504,J,F,P
5,4400,0,0.4555,J,F,P
3.5,4600,0,0.4061,J,F,P
4,4600,0,0.4421,J,F,P
4.5,4600,0,0.4344,J,F,P
5,4600,0,0.4366,J,F,P
3.5,4800,0,0.39,J,F,P
4,4800,0,0.4258,J,F,P
4.5,4800,0,0.4167,J,F,P
5,4800,0,0.4173,J,F,P
3.5,5000,0,0.3836,J,F,P
4,5000,0,0.3939,J,F,P
4.5,5000,0,0.3947,J,F,P
5,5000,0,0.3978,J,F,P
3.5,5200,0,0.3668,J,F,P
4,5200,0,0.3775,J,F,P
4.5,5200,0,0.3785,J,F,P
5,5200,0,0.3813,J,F,P
3.5,5400,0,0.3517,J,F,P
4,5400,0,0.362,J,F,P
4.5,5400,0,0.3631,J,F,P
5,5400,0,0.366,J,F,P
3.5,5600,0,0.3383,J,F,P
4,5600,0,0.3483,J,F,P
4.5,5600,0,0.3493,J,F,P
5,5600,0,0.3485,J,F,P
3.5,5800,0,0.3258,J,F,P
4,5800,0,0.3359,J,F,P
4.5,5800,0,0.3367,J,F,P
5,5800,0,0.3357,J,F,P
3.5,7000,0,0.265,J,F,P
4,7000,0,0.2802,J,F,P
4.5,7000,0,0.2781,J,F,P
5,7000,0,0.2795,J,F,P
3.5,7200,0,0.2566,J,F,P
4,7200,0,0.2689,J,F,P
4.5,7200,0,0.2701,J,F,P
5,7200,0,0.2719,J,F,P
3.5,7400,0,0.2508,J,F,P
4,7400,0,0.263,J,F,P
4.5,7400,0,0.2623,J,F,P
5,7400,0,0.2644,J,F,P
3.5,7600,0,0.2425,J,F,P
4,7600,0,0.2548,J,F,P
4.5,7600,0,0.2547,J,F,P
5,7600,0,0.2571,J,F,P
3.5,7800,0,0.2344,J,F,P
4,7800,0,0.2471,J,F,P
4.5,7800,0,0.2496,J,F,P
5,7800,0,0.2499,J,F,P
3.5,8000,0,0.2254,J,F,P
4,8000,0,0.2397,J,F,P
4.5,8000,0,0.2418,J,F,P
5,8000,0,0.2444,J,F,P
3.5,8200,0,0.2166,J,F,P
4,8200,0,0.2335,J,F,P
4.5,8200,0,0.2346,J,F,P
5,8200,0,0.2378,J,F,P
3.5,8400,0,0.2113,J,F,P
4,8400,0,0.2306,J,F,P
4.5,8400,0,0.2275,J,F,P
5,8400,0,0.2309,J,F,P
3.5,8600,0,0.2078,J,F,P
4,8600,0,0.2182,J,F,P
4.5,8600,0,0.2219,J,F,P
5,8600,0,0.2245,J,F,P
3.5,8800,0,0.2034,J,F,P
4,8800,0,0.2068,J,F,P
4.5,8800,0,0.2162,J,F,P
5,8800,0,0.218,J,F,P
3.5,9000,0,0.2026,J,F,P
4,9000,0,0.2018,J,F,P
4.5,9000,0,0.199,J,F,P
5,9000,0,0.2078,J,F,P
3.5,9200,0,0.1988,J,F,P
4,9200,0,0.1997,J,F,P
4.5,9200,0,0.1957,J,F,P
5,9200,0,0.2003,J,F,P
3.5,9400,0,0.196,J,F,P
4,9400,0,0.1973,J,F,P
4.5,9400,0,0.192,J,F,P
5,9400,0,0.191,J,F,P
3.5,9600,0,0.1934,J,F,P
4,9600,0,0.1941,J,F,P
4.5,9600,0,0.1888,J,F,P
5,9600,0,0.1873,J,F,P
3.5,9800,0,0.192,J,F,P
4,9800,0,0.192,J,F,P
4.5,9800,0,0.1865,J,F,P
5,9800,0,0.1839,J,F,P
