logg,Teff,Z,xi,u,Filt,Met,Mod
 0.00,  3500,-5.0, 2.0, 0.3098,K ,L,A
 0.50,  3500,-5.0, 2.0, 0.3027,K ,L,A
 1.00,  3500,-5.0, 2.0, 0.2754,K ,L,A
 1.50,  3500,-5.0, 2.0, 0.2741,K ,L,A
 2.00,  3500,-5.0, 2.0, 0.1991,K ,L,A
 2.50,  3500,-5.0, 2.0, 0.0840,K ,L,A
 3.00,  3500,-5.0, 2.0, 0.0534,K ,L,A
 0.00,  3750,-5.0, 2.0, 0.2932,K ,L,A
 0.50,  3750,-5.0, 2.0, 0.2749,K ,L,A
 1.00,  3750,-5.0, 2.0, 0.2578,K ,L,A
 1.50,  3750,-5.0, 2.0, 0.2325,K ,L,A
 2.00,  3750,-5.0, 2.0, 0.2234,K ,L,A
 2.50,  3750,-5.0, 2.0, 0.2539,K ,L,A
 3.00,  3750,-5.0, 2.0, 0.1330,K ,L,A
 0.00,  4000,-5.0, 2.0, 0.2905,K ,L,A
 0.50,  4000,-5.0, 2.0, 0.2779,K ,L,A
 1.00,  4000,-5.0, 2.0, 0.2612,K ,L,A
 1.50,  4000,-5.0, 2.0, 0.2429,K ,L,A
 2.00,  4000,-5.0, 2.0, 0.2218,K ,L,A
 2.50,  4000,-5.0, 2.0, 0.1899,K ,L,A
 3.00,  4000,-5.0, 2.0, 0.2048,K ,L,A
 3.50,  4000,-5.0, 2.0, 0.2412,K ,L,A
 0.00,  4250,-5.0, 2.0, 0.2876,K ,L,A
 0.50,  4250,-5.0, 2.0, 0.2795,K ,L,A
 1.00,  4250,-5.0, 2.0, 0.2684,K ,L,A
 1.50,  4250,-5.0, 2.0, 0.2544,K ,L,A
 2.00,  4250,-5.0, 2.0, 0.2386,K ,L,A
 2.50,  4250,-5.0, 2.0, 0.2149,K ,L,A
 3.00,  4250,-5.0, 2.0, 0.1876,K ,L,A
 3.50,  4250,-5.0, 2.0, 0.1529,K ,L,A
 4.00,  4250,-5.0, 2.0, 0.1291,K ,L,A
 0.00,  4500,-5.0, 2.0, 0.2814,K ,L,A
 0.50,  4500,-5.0, 2.0, 0.2772,K ,L,A
 1.00,  4500,-5.0, 2.0, 0.2699,K ,L,A
 1.50,  4500,-5.0, 2.0, 0.2604,K ,L,A
 2.00,  4500,-5.0, 2.0, 0.2489,K ,L,A
 2.50,  4500,-5.0, 2.0, 0.2353,K ,L,A
 3.00,  4500,-5.0, 2.0, 0.2178,K ,L,A
 3.50,  4500,-5.0, 2.0, 0.1919,K ,L,A
 4.00,  4500,-5.0, 2.0, 0.1606,K ,L,A
 0.00,  4750,-5.0, 2.0, 0.2736,K ,L,A
 0.50,  4750,-5.0, 2.0, 0.2721,K ,L,A
 1.00,  4750,-5.0, 2.0, 0.2686,K ,L,A
 1.50,  4750,-5.0, 2.0, 0.2619,K ,L,A
 2.00,  4750,-5.0, 2.0, 0.2534,K ,L,A
 2.50,  4750,-5.0, 2.0, 0.2436,K ,L,A
 3.00,  4750,-5.0, 2.0, 0.2323,K ,L,A
 3.50,  4750,-5.0, 2.0, 0.2193,K ,L,A
 4.00,  4750,-5.0, 2.0, 0.1966,K ,L,A
 4.50,  4750,-5.0, 2.0, 0.1704,K ,L,A
 0.00,  5000,-5.0, 2.0, 0.2657,K ,L,A
 0.50,  5000,-5.0, 2.0, 0.2643,K ,L,A
 1.00,  5000,-5.0, 2.0, 0.2618,K ,L,A
 1.50,  5000,-5.0, 2.0, 0.2580,K ,L,A
 2.00,  5000,-5.0, 2.0, 0.2524,K ,L,A
 2.50,  5000,-5.0, 2.0, 0.2454,K ,L,A
 3.00,  5000,-5.0, 2.0, 0.2376,K ,L,A
 3.50,  5000,-5.0, 2.0, 0.2296,K ,L,A
 4.00,  5000,-5.0, 2.0, 0.2182,K ,L,A
 4.50,  5000,-5.0, 2.0, 0.2008,K ,L,A
 5.00,  5000,-5.0, 2.0, 0.1826,K ,L,A
 0.00,  5250,-5.0, 2.0, 0.2567,K ,L,A
 0.50,  5250,-5.0, 2.0, 0.2549,K ,L,A
 1.00,  5250,-5.0, 2.0, 0.2537,K ,L,A
 1.50,  5250,-5.0, 2.0, 0.2514,K ,L,A
 2.00,  5250,-5.0, 2.0, 0.2477,K ,L,A
 2.50,  5250,-5.0, 2.0, 0.2440,K ,L,A
 3.00,  5250,-5.0, 2.0, 0.2387,K ,L,A
 3.50,  5250,-5.0, 2.0, 0.2324,K ,L,A
 4.00,  5250,-5.0, 2.0, 0.2272,K ,L,A
 4.50,  5250,-5.0, 2.0, 0.2154,K ,L,A
 5.00,  5250,-5.0, 2.0, 0.1979,K ,L,A
 0.00,  5500,-5.0, 2.0, 0.2479,K ,L,A
 0.50,  5500,-5.0, 2.0, 0.2440,K ,L,A
 1.00,  5500,-5.0, 2.0, 0.2433,K ,L,A
 1.50,  5500,-5.0, 2.0, 0.2428,K ,L,A
 2.00,  5500,-5.0, 2.0, 0.2416,K ,L,A
 2.50,  5500,-5.0, 2.0, 0.2391,K ,L,A
 3.00,  5500,-5.0, 2.0, 0.2363,K ,L,A
 3.50,  5500,-5.0, 2.0, 0.2313,K ,L,A
 4.00,  5500,-5.0, 2.0, 0.2264,K ,L,A
 4.50,  5500,-5.0, 2.0, 0.2195,K ,L,A
 5.00,  5500,-5.0, 2.0, 0.2092,K ,L,A
 0.00,  5750,-5.0, 2.0, 0.2726,K ,L,A
 0.50,  5750,-5.0, 2.0, 0.2350,K ,L,A
 1.00,  5750,-5.0, 2.0, 0.2314,K ,L,A
 1.50,  5750,-5.0, 2.0, 0.2323,K ,L,A
 2.00,  5750,-5.0, 2.0, 0.2317,K ,L,A
 2.50,  5750,-5.0, 2.0, 0.2314,K ,L,A
 3.00,  5750,-5.0, 2.0, 0.2305,K ,L,A
 3.50,  5750,-5.0, 2.0, 0.2290,K ,L,A
 4.00,  5750,-5.0, 2.0, 0.2264,K ,L,A
 4.50,  5750,-5.0, 2.0, 0.2219,K ,L,A
 5.00,  5750,-5.0, 2.0, 0.2149,K ,L,A
 0.00,  6000,-5.0, 2.0, 0.2735,K ,L,A
 0.50,  6000,-5.0, 2.0, 0.2590,K ,L,A
 1.00,  6000,-5.0, 2.0, 0.2281,K ,L,A
 1.50,  6000,-5.0, 2.0, 0.2205,K ,L,A
 2.00,  6000,-5.0, 2.0, 0.2219,K ,L,A
 2.50,  6000,-5.0, 2.0, 0.2238,K ,L,A
