logg,Teff,Z,u,Filt,Met,Mod
0,3500,-5,0.2279,K,F,A
0.5,3500,-5,0.2184,K,F,A
1,3500,-5,0.1959,K,F,A
1.5,3500,-5,0.2098,K,F,A
2,3500,-5,0.1765,K,F,A
2.5,3500,-5,0.0716,K,F,A
3,3500,-5,0.04,K,F,A
0,3750,-5,0.2267,K,F,A
0.5,3750,-5,0.2096,K,F,A
1,3750,-5,0.1924,K,F,A
1.5,3750,-5,0.1693,K,F,A
2,3750,-5,0.155,K,F,A
2.5,3750,-5,0.2003,K,F,A
3,3750,-5,0.1317,K,F,A
0,4000,-5,0.2297,K,F,A
0.5,4000,-5,0.2192,K,F,A
1,4000,-5,0.2037,K,F,A
1.5,4000,-5,0.1851,K,F,A
2,4000,-5,0.1662,K,F,A
2.5,4000,-5,0.1369,K,F,A
3,4000,-5,0.1403,K,F,A
3.5,4000,-5,0.1998,K,F,A
0,4250,-5,0.2297,K,F,A
0.5,4250,-5,0.2241,K,F,A
1,4250,-5,0.215,K,F,A
1.5,4250,-5,0.2012,K,F,A
2,4250,-5,0.185,K,F,A
2.5,4250,-5,0.1638,K,F,A
3,4250,-5,0.1411,K,F,A
3.5,4250,-5,0.1128,K,F,A
4,4250,-5,0.0943,K,F,A
0,4500,-5,0.2245,K,F,A
0.5,4500,-5,0.2227,K,F,A
1,4500,-5,0.2175,K,F,A
1.5,4500,-5,0.2094,K,F,A
2,4500,-5,0.1976,K,F,A
2.5,4500,-5,0.1832,K,F,A
3,4500,-5,0.1661,K,F,A
3.5,4500,-5,0.1453,K,F,A
4,4500,-5,0.1199,K,F,A
0,4750,-5,0.2178,K,F,A
0.5,4750,-5,0.2178,K,F,A
1,4750,-5,0.2161,K,F,A
1.5,4750,-5,0.211,K,F,A
2,4750,-5,0.2035,K,F,A
2.5,4750,-5,0.1933,K,F,A
3,4750,-5,0.1807,K,F,A
3.5,4750,-5,0.167,K,F,A
4,4750,-5,0.1487,K,F,A
4.5,4750,-5,0.1276,K,F,A
0,5000,-5,0.2101,K,F,A
0.5,5000,-5,0.2105,K,F,A
1,5000,-5,0.2095,K,F,A
1.5,5000,-5,0.207,K,F,A
2,5000,-5,0.2027,K,F,A
2.5,5000,-5,0.1958,K,F,A
3,5000,-5,0.1873,K,F,A
3.5,5000,-5,0.1774,K,F,A
4,5000,-5,0.1657,K,F,A
4.5,5000,-5,0.1509,K,F,A
5,5000,-5,0.1356,K,F,A
0,5250,-5,0.2011,K,F,A
0.5,5250,-5,0.2015,K,F,A
1,5250,-5,0.2019,K,F,A
1.5,5250,-5,0.2006,K,F,A
2,5250,-5,0.1975,K,F,A
2.5,5250,-5,0.1943,K,F,A
3,5250,-5,0.1885,K,F,A
3.5,5250,-5,0.1817,K,F,A
4,5250,-5,0.1748,K,F,A
4.5,5250,-5,0.1638,K,F,A
5,5250,-5,0.1494,K,F,A
0,5500,-5,0.1913,K,F,A
0.5,5500,-5,0.1911,K,F,A
1,5500,-5,0.192,K,F,A
1.5,5500,-5,0.1923,K,F,A
2,5500,-5,0.1913,K,F,A
2.5,5500,-5,0.1887,K,F,A
3,5500,-5,0.186,K,F,A
3.5,5500,-5,0.1806,K,F,A
4,5500,-5,0.1756,K,F,A
4.5,5500,-5,0.1691,K,F,A
5,5500,-5,0.1595,K,F,A
0,5750,-5,0.2143,K,F,A
0.5,5750,-5,0.1797,K,F,A
1,5750,-5,0.1804,K,F,A
1.5,5750,-5,0.1822,K,F,A
2,5750,-5,0.1818,K,F,A
2.5,5750,-5,0.1812,K,F,A
3,5750,-5,0.1797,K,F,A
3.5,5750,-5,0.1783,K,F,A
4,5750,-5,0.1752,K,F,A
4.5,5750,-5,0.1712,K,F,A
5,5750,-5,0.1647,K,F,A
0,6000,-5,0.2132,K,F,A
0.5,6000,-5,0.2057,K,F,A
1,6000,-5,0.1767,K,F,A
1.5,6000,-5,0.1704,K,F,A
2,6000,-5,0.1722,K,F,A
2.5,6000,-5,0.1737,K,F,A
3,6000,-5,0.1741,K,F,A
3.5,6000,-5,0.1733,K,F,A
4,6000,-5,0.1741,K,F,A
4.5,6000,-5,0.172,K,F,A
5,6000,-5,0.1672,K,F,A
0.5,6250,-5,0.202,K,F,A
1,6250,-5,0.1987,K,F,A
1.5,6250,-5,0.1671,K,F,A
2,6250,-5,0.163,K,F,A
2.5,6250,-5,0.1657,K,F,A
3,6250,-5,0.1676,K,F,A
3.5,6250,-5,0.1688,K,F,A
4,6250,-5,0.1696,K,F,A
