logg,Teff,Z,xi,u,Filt,Met,Mod
0,3500,-5,2,0.6319,R,L,A
0.5,3500,-5,2,0.6198,R,L,A
1,3500,-5,2,0.5883,R,L,A
1.5,3500,-5,2,0.5573,R,L,A
2,3500,-5,2,0.5433,R,L,A
2.5,3500,-5,2,0.5437,R,L,A
3,3500,-5,2,0.5541,R,L,A
0,3750,-5,2,0.6331,R,L,A
0.5,3750,-5,2,0.6229,R,L,A
1,3750,-5,2,0.6008,R,L,A
1.5,3750,-5,2,0.5516,R,L,A
2,3750,-5,2,0.4909,R,L,A
2.5,3750,-5,2,0.4543,R,L,A
3,3750,-5,2,0.4486,R,L,A
0,4000,-5,2,0.6313,R,L,A
0.5,4000,-5,2,0.6152,R,L,A
1,4000,-5,2,0.5941,R,L,A
1.5,4000,-5,2,0.5689,R,L,A
2,4000,-5,2,0.523,R,L,A
2.5,4000,-5,2,0.4521,R,L,A
3,4000,-5,2,0.3958,R,L,A
3.5,4000,-5,2,0.3679,R,L,A
0,4250,-5,2,0.6249,R,L,A
0.5,4250,-5,2,0.6073,R,L,A
1,4250,-5,2,0.5856,R,L,A
1.5,4250,-5,2,0.5642,R,L,A
2,4250,-5,2,0.5442,R,L,A
2.5,4250,-5,2,0.5066,R,L,A
3,4250,-5,2,0.4535,R,L,A
3.5,4250,-5,2,0.3926,R,L,A
4,4250,-5,2,0.3441,R,L,A
0,4500,-5,2,0.6134,R,L,A
0.5,4500,-5,2,0.5976,R,L,A
1,4500,-5,2,0.5792,R,L,A
1.5,4500,-5,2,0.5597,R,L,A
2,4500,-5,2,0.5427,R,L,A
2.5,4500,-5,2,0.5245,R,L,A
3,4500,-5,2,0.4994,R,L,A
3.5,4500,-5,2,0.4503,R,L,A
4,4500,-5,2,0.3926,R,L,A
0,4750,-5,2,0.5997,R,L,A
0.5,4750,-5,2,0.5865,R,L,A
1,4750,-5,2,0.5734,R,L,A
1.5,4750,-5,2,0.5578,R,L,A
2,4750,-5,2,0.5422,R,L,A
2.5,4750,-5,2,0.5285,R,L,A
