logg,Teff,Z,u,Filt,Met,Mod
0,3500,-5,0.6248,R,F,A
0.5,3500,-5,0.6012,R,F,A
1,3500,-5,0.5452,R,F,A
1.5,3500,-5,0.4943,R,F,A
2,3500,-5,0.4718,R,F,A
2.5,3500,-5,0.4712,R,F,A
3,3500,-5,0.4844,R,F,A
0,3750,-5,0.6257,R,F,A
0.5,3750,-5,0.6047,R,F,A
1,3750,-5,0.5672,R,F,A
1.5,3750,-5,0.4914,R,F,A
2,3750,-5,0.4056,R,F,A
2.5,3750,-5,0.3577,R,F,A
3,3750,-5,0.3467,R,F,A
0,4000,-5,0.6201,R,F,A
0.5,4000,-5,0.5899,R,F,A
1,4000,-5,0.5531,R,F,A
1.5,4000,-5,0.5128,R,F,A
2,4000,-5,0.4554,R,F,A
2.5,4000,-5,0.3672,R,F,A
3,4000,-5,0.3008,R,F,A
3.5,4000,-5,0.2658,R,F,A
0,4250,-5,0.6067,R,F,A
0.5,4250,-5,0.5763,R,F,A
1,4250,-5,0.5407,R,F,A
1.5,4250,-5,0.5074,R,F,A
2,4250,-5,0.4784,R,F,A
2.5,4250,-5,0.4307,R,F,A
3,4250,-5,0.3734,R,F,A
3.5,4250,-5,0.3062,R,F,A
4,4250,-5,0.2576,R,F,A
0,4500,-5,0.5865,R,F,A
0.5,4500,-5,0.5615,R,F,A
1,4500,-5,0.5325,R,F,A
1.5,4500,-5,0.5028,R,F,A
2,4500,-5,0.4771,R,F,A
2.5,4500,-5,0.4522,R,F,A
3,4500,-5,0.4219,R,F,A
3.5,4500,-5,0.3667,R,F,A
4,4500,-5,0.3051,R,F,A
0,4750,-5,0.5656,R,F,A
0.5,4750,-5,0.5458,R,F,A
1,4750,-5,0.5259,R,F,A
1.5,4750,-5,0.502,R,F,A
2,4750,-5,0.4783,R,F,A
2.5,4750,-5,0.4581,R,F,A
3,4750,-5,0.4402,R,F,A
3.5,4750,-5,0.422,R,F,A
4,4750,-5,0.3722,R,F,A
4.5,4750,-5,0.318,R,F,A
