logg,Teff,Z,xi,u,Filt,Met,Mod
3.5,2000,0,2,1.1124,R,L,P
4,2000,0,2,1.0911,R,L,P
4.5,2000,0,2,1.0792,R,L,P
5,2000,0,2,1.0672,R,L,P
3.5,2200,0,2,1.1152,R,L,P
4,2200,0,2,1.0881,R,L,P
4.5,2200,0,2,1.0748,R,L,P
5,2200,0,2,1.0606,R,L,P
3.5,2400,0,2,1.0831,R,L,P
4,2400,0,2,1.0555,R,L,P
4.5,2400,0,2,1.0456,R,L,P
5,2400,0,2,1.031,R,L,P
3.5,2600,0,2,0.9778,R,L,P
4,2600,0,2,0.9821,R,L,P
4.5,2600,0,2,0.9707,R,L,P
5,2600,0,2,0.9704,R,L,P
3.5,2800,0,2,0.8392,R,L,P
4,2800,0,2,0.8689,R,L,P
4.5,2800,0,2,0.8749,R,L,P
5,2800,0,2,0.8836,R,L,P
3.5,3000,0,2,0.761,R,L,P
4,3000,0,2,0.7516,R,L,P
4.5,3000,0,2,0.7619,R,L,P
5,3000,0,2,0.7911,R,L,P
3.5,3200,0,2,0.748,R,L,P
4,3200,0,2,0.7195,R,L,P
4.5,3200,0,2,0.7062,R,L,P
5,3200,0,2,0.7067,R,L,P
3.5,3400,0,2,0.7718,R,L,P
4,3400,0,2,0.736,R,L,P
4.5,3400,0,2,0.6958,R,L,P
5,3400,0,2,0.6715,R,L,P
3.5,3600,0,2,0.8288,R,L,P
4,3600,0,2,0.7778,R,L,P
4.5,3600,0,2,0.7154,R,L,P
5,3600,0,2,0.6639,R,L,P
3.5,3800,0,2,0.9075,R,L,P
4,3800,0,2,0.8403,R,L,P
4.5,3800,0,2,0.7605,R,L,P
5,3800,0,2,0.6715,R,L,P
3.5,4000,0,2,0.8086,R,L,P
4,4000,0,2,0.8573,R,L,P
4.5,4000,0,2,0.8074,R,L,P
5,4000,0,2,0.6909,R,L,P
3.5,4200,0,2,0.7368,R,L,P
4,4200,0,2,0.8417,R,L,P
4.5,4200,0,2,0.8725,R,L,P
5,4200,0,2,0.7499,R,L,P
3.5,4400,0,2,0.7112,R,L,P
4,4400,0,2,0.7966,R,L,P
4.5,4400,0,2,0.7675,R,L,P
5,4400,0,2,0.7897,R,L,P
3.5,4600,0,2,0.6825,R,L,P
4,4600,0,2,0.7572,R,L,P
4.5,4600,0,2,0.7259,R,L,P
5,4600,0,2,0.7305,R,L,P
3.5,4800,0,2,0.6614,R,L,P
4,4800,0,2,0.7328,R,L,P
4.5,4800,0,2,0.7014,R,L,P
5,4800,0,2,0.6963,R,L,P
3.5,5000,0,2,0.6503,R,L,P
4,5000,0,2,0.676,R,L,P
4.5,5000,0,2,0.6693,R,L,P
5,5000,0,2,0.6715,R,L,P
3.5,5200,0,2,0.6299,R,L,P
4,5200,0,2,0.6547,R,L,P
4.5,5200,0,2,0.6496,R,L,P
5,5200,0,2,0.6524,R,L,P
3.5,5400,0,2,0.6112,R,L,P
4,5400,0,2,0.6346,R,L,P
4.5,5400,0,2,0.6305,R,L,P
5,5400,0,2,0.6335,R,L,P
3.5,5600,0,2,0.5953,R,L,P
4,5600,0,2,0.6177,R,L,P
4.5,5600,0,2,0.6132,R,L,P
5,5600,0,2,0.6144,R,L,P
3.5,5800,0,2,0.5809,R,L,P
4,5800,0,2,0.6023,R,L,P
4.5,5800,0,2,0.5975,R,L,P
5,5800,0,2,0.5977,R,L,P
3.5,7000,0,2,0.5146,R,L,P
4,7000,0,2,0.537,R,L,P
4.5,7000,0,2,0.5253,R,L,P
5,7000,0,2,0.5222,R,L,P
3.5,7200,0,2,0.5056,R,L,P
4,7200,0,2,0.5231,R,L,P
4.5,7200,0,2,0.5161,R,L,P
5,7200,0,2,0.5129,R,L,P
3.5,7400,0,2,0.4986,R,L,P
4,7400,0,2,0.5157,R,L,P
4.5,7400,0,2,0.5069,R,L,P
5,7400,0,2,0.5037,R,L,P
3.5,7600,0,2,0.4875,R,L,P
4,7600,0,2,0.5045,R,L,P
4.5,7600,0,2,0.4975,R,L,P
5,7600,0,2,0.4947,R,L,P
3.5,7800,0,2,0.477,R,L,P
4,7800,0,2,0.4938,R,L,P
4.5,7800,0,2,0.4905,R,L,P
5,7800,0,2,0.4854,R,L,P
3.5,8000,0,2,0.465,R,L,P
4,8000,0,2,0.4836,R,L,P
4.5,8000,0,2,0.4792,R,L,P
5,8000,0,2,0.4778,R,L,P
3.5,8200,0,2,0.4523,R,L,P
4,8200,0,2,0.4771,R,L,P
4.5,8200,0,2,0.4688,R,L,P
5,8200,0,2,0.468,R,L,P
3.5,8400,0,2,0.4421,R,L,P
4,8400,0,2,0.4723,R,L,P
4.5,8400,0,2,0.4587,R,L,P
5,8400,0,2,0.4577,R,L,P
3.5,8600,0,2,0.4334,R,L,P
4,8600,0,2,0.4543,R,L,P
4.5,8600,0,2,0.4517,R,L,P
5,8600,0,2,0.4475,R,L,P
3.5,8800,0,2,0.4241,R,L,P
