logg,Teff,Z,xi,u,Filt,Met,Mod
3.5,2000,0,2,0.5974,K,L,P
4,2000,0,2,0.5925,K,L,P
4.5,2000,0,2,0.5951,K,L,P
5,2000,0,2,0.5929,K,L,P
3.5,2200,0,2,0.5359,K,L,P
4,2200,0,2,0.5277,K,L,P
4.5,2200,0,2,0.538,K,L,P
5,2200,0,2,0.5473,K,L,P
3.5,2400,0,2,0.4704,K,L,P
4,2400,0,2,0.46,K,L,P
4.5,2400,0,2,0.469,K,L,P
5,2400,0,2,0.4843,K,L,P
3.5,2600,0,2,0.3935,K,L,P
4,2600,0,2,0.3976,K,L,P
4.5,2600,0,2,0.3993,K,L,P
5,2600,0,2,0.4167,K,L,P
3.5,2800,0,2,0.3531,K,L,P
4,2800,0,2,0.3506,K,L,P
4.5,2800,0,2,0.3435,K,L,P
5,2800,0,2,0.3541,K,L,P
3.5,3000,0,2,0.3506,K,L,P
4,3000,0,2,0.3053,K,L,P
4.5,3000,0,2,0.2933,K,L,P
5,3000,0,2,0.3055,K,L,P
3.5,3200,0,2,0.3915,K,L,P
4,3200,0,2,0.2992,K,L,P
4.5,3200,0,2,0.273,K,L,P
5,3200,0,2,0.2664,K,L,P
3.5,3400,0,2,0.4558,K,L,P
4,3400,0,2,0.3179,K,L,P
4.5,3400,0,2,0.2618,K,L,P
5,3400,0,2,0.2474,K,L,P
3.5,3600,0,2,0.4426,K,L,P
4,3600,0,2,0.379,K,L,P
4.5,3600,0,2,0.2717,K,L,P
5,3600,0,2,0.2343,K,L,P
3.5,3800,0,2,0.4167,K,L,P
4,3800,0,2,0.4048,K,L,P
4.5,3800,0,2,0.3241,K,L,P
5,3800,0,2,0.2438,K,L,P
3.5,4000,0,2,0.362,K,L,P
4,4000,0,2,0.3769,K,L,P
4.5,4000,0,2,0.3683,K,L,P
5,4000,0,2,0.2869,K,L,P
3.5,4200,0,2,0.3523,K,L,P
4,4200,0,2,0.3671,K,L,P
4.5,4200,0,2,0.3808,K,L,P
5,4200,0,2,0.3388,K,L,P
3.5,4400,0,2,0.3389,K,L,P
4,4400,0,2,0.3582,K,L,P
4.5,4400,0,2,0.3608,K,L,P
5,4400,0,2,0.3644,K,L,P
3.5,4600,0,2,0.3251,K,L,P
4,4600,0,2,0.3495,K,L,P
4.5,4600,0,2,0.3485,K,L,P
5,4600,0,2,0.351,K,L,P
3.5,4800,0,2,0.3152,K,L,P
4,4800,0,2,0.3381,K,L,P
4.5,4800,0,2,0.3352,K,L,P
5,4800,0,2,0.3368,K,L,P
3.5,5000,0,2,0.3115,K,L,P
4,5000,0,2,0.3188,K,L,P
4.5,5000,0,2,0.3202,K,L,P
5,5000,0,2,0.3225,K,L,P
3.5,5200,0,2,0.2996,K,L,P
4,5200,0,2,0.307,K,L,P
4.5,5200,0,2,0.3083,K,L,P
5,5200,0,2,0.3104,K,L,P
3.5,5400,0,2,0.2877,K,L,P
4,5400,0,2,0.2955,K,L,P
4.5,5400,0,2,0.2969,K,L,P
5,5400,0,2,0.2991,K,L,P
3.5,5600,0,2,0.2762,K,L,P
4,5600,0,2,0.2847,K,L,P
4.5,5600,0,2,0.286,K,L,P
5,5600,0,2,0.2896,K,L,P
3.5,5800,0,2,0.2652,K,L,P
4,5800,0,2,0.2744,K,L,P
4.5,5800,0,2,0.2759,K,L,P
5,5800,0,2,0.2803,K,L,P
3.5,7000,0,2,0.2082,K,L,P
4,7000,0,2,0.224,K,L,P
4.5,7000,0,2,0.2274,K,L,P
5,7000,0,2,0.231,K,L,P
3.5,7200,0,2,0.2006,K,L,P
4,7200,0,2,0.2176,K,L,P
4.5,7200,0,2,0.2197,K,L,P
5,7200,0,2,0.2235,K,L,P
3.5,7400,0,2,0.195,K,L,P
4,7400,0,2,0.2119,K,L,P
4.5,7400,0,2,0.2123,K,L,P
5,7400,0,2,0.2161,K,L,P
3.5,7600,0,2,0.1874,K,L,P
4,7600,0,2,0.2041,K,L,P
4.5,7600,0,2,0.2052,K,L,P
5,7600,0,2,0.209,K,L,P
3.5,7800,0,2,0.181,K,L,P
4,7800,0,2,0.197,K,L,P
4.5,7800,0,2,0.2002,K,L,P
5,7800,0,2,0.2021,K,L,P
3.5,8000,0,2,0.1754,K,L,P
4,8000,0,2,0.1906,K,L,P
4.5,8000,0,2,0.1925,K,L,P
5,8000,0,2,0.1967,K,L,P
3.5,8200,0,2,0.171,K,L,P
4,8200,0,2,0.1839,K,L,P
4.5,8200,0,2,0.1857,K,L,P
5,8200,0,2,0.1902,K,L,P
3.5,8400,0,2,0.1698,K,L,P
4,8400,0,2,0.1846,K,L,P
4.5,8400,0,2,0.1793,K,L,P
5,8400,0,2,0.1835,K,L,P
3.5,8600,0,2,0.1652,K,L,P
4,8600,0,2,0.1763,K,L,P
4.5,8600,0,2,0.173,K,L,P
5,8600,0,2,0.1773,K,L,P
3.5,8800,0,2,0.1609,K,L,P
4,8800,0,2,0.1692,K,L,P
4.5,8800,0,2,0.1714,K,L,P
5,8800,0,2,0.1711,K,L,P
3.5,9000,0,2,0.1636,K,L,P
4,9000,0,2,0.1634,K,L,P
4.5,9000,0,2,0.1602,K,L,P
5,9000,0,2,0.1625,K,L,P
3.5,9200,0,2,0.1588,K,L,P
4,9200,0,2,0.1645,K,L,P
4.5,9200,0,2,0.1564,K,L,P
5,9200,0,2,0.1579,K,L,P
3.5,9400,0,2,0.1583,K,L,P
4,9400,0,2,0.1621,K,L,P
4.5,9400,0,2,0.1527,K,L,P
5,9400,0,2,0.1525,K,L,P
3.5,9600,0,2,0.1545,K,L,P
4,9600,0,2,0.1576,K,L,P
4.5,9600,0,2,0.1493,K,L,P
5,9600,0,2,0.1481,K,L,P
3.5,9800,0,2,0.1546,K,L,P
4,9800,0,2,0.1555,K,L,P
4.5,9800,0,2,0.1475,K,L,P
5,9800,0,2,0.1455,K,L,P
